Entity,Code,year,Day,Training_computation_petaflop,Domain
6-layer MLP (MNIST),,2010,2010-03-01,0.13,Vision
A3C FF hs,,2016,2016-02-04,NA,Games
ADALINE,,1960,1960-06-30,9.9e-12,Vision
ADAM (CIFAR-10),,2014,2014-12-22,60,Vision
ALBERT,,2019,2019-09-26,NA,Language
ALBERT-xxlarge,,2020,2020-02-09,2500000,Language
ALIGN,,2021,2021-06-11,220000000,Multimodal
ALVINN,,1989,1989-12-01,0.000081,Driving
AMDIM,,2019,2019-06-03,NA,Drawing
ASE+ACE,,1983,1983-09-01,NA,Games
Adaptive Broom Balancer,,1988,1988-07-24,NA,Games
Advantage Learning,,2015,2015-12-15,NA,Games
Agent57,,2020,2020-03-30,NA,Games
AlexNet,,2012,2012-09-30,470,Vision
AlphaCode,,2022,2022-02-02,NA,Language
AlphaFold,,2020,2020-01-15,100000,Other
AlphaFold2,,2020,2020-11-30,NA,Other
AlphaGo Fan,,2015,2015-10-01,380000,Games
AlphaGo Lee,,2016,2016-01-27,1900000,Games
AlphaGo Master,,2017,2017-01-01,150000000,Games
AlphaGo Zero,,2017,2017-10-19,340000000,Games
AlphaStar,,2019,2019-10-30,200000000,Games
AlphaX-1,,2019,2019-10-02,7600,Vision
AlphaZero,,2017,2017-12-05,37000000,Games
AmoebaNet-A (F=190),,2018,2018-02-05,NA,Vision
AmoebaNet-A (F=448),,2018,2018-02-05,390000,Vision
AraGPT2-Mega,,2020,2020-12-31,2000000,Language
BART-large,,2019,2019-10-29,NA,Language
BERT-Large,,2018,2018-10-11,290000,Language
BLSTM,,2007,2007-12-03,NA,Vision
BOXES,,1968,1968-07-01,NA,Games
BPE,,2015,2015-08-31,NA,Language
BPL,,2015,2015-12-11,NA,Drawing
BRNN,,1997,1997-11-01,NA,Speech
BaGuaLu,,2022,2022-03-28,NA,Other
Back-propagation,,1986,1986-10-01,1.2e-7,Other
BatchNorm,,2015,2015-06-15,NA,Other
BellKor 2007,,2009,2009-09-21,NA,Recommendation
BellKor 2008,,2009,2009-08-01,NA,Recommendation
BiLSTM for Speech,,2005,2005-08-01,0.024,Speech
Big Transfer (BiT-L),,2019,2019-12-24,NA,Vision
BigBiGAN,,2019,2019-07-04,NA,Drawing
BigChaos 2008,,2008,2008-11-25,NA,Recommendation
BigGAN-deep 512x512,,2018,2018-09-28,3000000,Drawing
BigSSL,,2021,2021-01-10,NA,Speech
Bootstrap Adaptation,,1973,1973-09-01,NA,Games
Boss (DARPA Urban Challenge),,2008,2008-07-23,NA,Driving
CLIP (ResNet-50),,2021,2021-01-05,NA,Multimodal
CLIP (ViT L/14@336px),,2021,2021-01-05,11000000,Multimodal
CNN Best Practices,,2003,2003-08-06,NA,Vision
CPC v2,,2019,2019-05-22,NA,Drawing
CPM-Large,,2020,2020-12-01,1800000,Language
CTC-Trained LSTM,,2006,2006-06-25,NA,Speech
CURL,,2020,2020-04-08,NA,Games
CapsNet (MNIST),,2017,2017-10-26,NA,Vision
CapsNet (MultiMNIST),,2017,2017-10-26,NA,Vision
Chinchilla,,2022,2022-03-29,580000000,Language
Chinese - English translation,,2018,2018-03-01,NA,Language
Cloob,,2021,2021-10-21,NA,Multimodal
Codex,,2021,2021-07-07,NA,Language
CogView,,2021,2021-05-26,27000000,Drawing
Cognitron,,1975,1975-09-01,NA,Other
Constituency-Tree LSTM,,2015,2015-02-28,NA,Language
Cross-lingual alignment,,2019,2019-04-04,2600,Other
DALL-E,,2021,2021-01-05,47000000,Drawing
DALL·E 2,,2022,2022-04-06,NA,Drawing
DBLSTM,,2013,2013-12-08,NA,Speech
DBNs,,2014,2014-02-11,NA,Language
DIABETES,,1991,1991-06-24,NA,Other
DImensionality Reduction,,2006,2006-07-18,NA,Vision
DLRM-12T,,2021,2021-04-12,NA,Recommendation
DLRM-2020,,2019,2019-05-31,4000,Recommendation
DLRM-2021,,2020,2020-07-01,300000,Recommendation
DMN,,2016,2016-06-20,NA,Language
DQN,,2013,2013-01-01,2.3,Games
DQN-2015,,2015,2015-02-25,NA,Games
DSN,,2015,2015-05-09,NA,VIsion
DeBERTa,,2021,2021-06-10,NA,Language
Decision tree (classification),,2001,2001-12-08,0.063,Vision
Deconvolutional Network,,2010,2010-06-13,NA,Vision
Decoupled weight decay regularization,,2019,2019-01-04,2500,Vision
Deep Belief Nets,,2006,2006-07-18,NA,Vision
Deep Boltzmann Machines,,2009,2009-04-16,NA,Other
DeepLab,,2014,2014-12-22,NA,Vision
DeepLabV3,,2017,2017-06-17,NA,Vision
DeepLabV3+,,2018,2018-02-07,NA,Vision
DeepNet,,2022,2022-03-01,NA,Language
DeepSpeech2,,2015,2015-12-08,26000,Speech
DeepStack,,2017,2017-01-06,0.15,Games
Denoising Autoencoders,,2008,2008-07-05,NA,Other
Denoising Diffusion Probabilistic Models (LSUN Bedroom),,2021,2021-06-11,1600,Drawing
DenseNet-264,,2016,2016-08-25,NA,Vision
DistilBERT,,2019,2019-10-02,NA,Language
Domain Adaptation,,2011,2011-11-06,NA,Vision
DrLIM,,2006,2006-06-17,NA,Vision
Dropout (CIFAR),,2012,2012-06-03,NA,Vision
Dropout (ImageNet),,2012,2012-06-03,NA,Vision
Dropout (MNIST),,2012,2012-06-03,6,Vision
Dropout (TIMIT),,2012,2012-06-03,NA,Speech
ELECTRA,,2020,2020-03-23,NA,Language
ELMo,,2018,2018-02-01,NA,Language
ERNIE 3.0,,2021,2021-07-05,2400,Language
ERNIE-GEN (large),,2020,2020-08-06,NA,Language
ESRGAN,,2018,2018-09-01,NA,Vision
EfficientDet,,2020,2020-07-27,NA,Vision
EfficientNet-L2,,2019,2019-05-28,NA,Vision
EfficientZero,,2021,2021-10-30,NA,Games
FAST,,2006,2006-05-07,NA,Vision
FLAN,,2021,2021-09-03,NA,Language
FTW,,2019,2019-05-31,7300000,Games
Fast R-CNN,,2015,2015-04-30,NA,Vision
Faster R-CNN,,2015,2015-06-04,NA,Vision
Feedforward NN,,2010,2010-05-13,0.35,Vision
FixRes ResNeXt-101 WSL,,2019,2019-06-14,NA,Vision
Flamingo,,2022,2022-04-29,NA,Multimodal
Fuzzy NN,,1992,1992-09-01,3e-9,Speech
GANs,,2014,2014-06-10,520,Drawing
GLEE,,1968,1968-07-01,NA,Games
GLIDE,,2021,2021-12-20,NA,Drawing
GNMT,,2016,2016-09-26,6900000,Language
GOAT,,2021,2021-07-27,78000000,Games
GPT,,2018,2018-06-01,18000,Language
GPT-2,,2019,2019-02-14,1500000,Language
GPT-3 175B,,2020,2020-04-28,310000000,Language
GPT-J-6B,,2021,2021-05-01,15000000,Language
GPT-Neo,,2021,2021-03-21,7900000,Language
GPT-NeoX-20B,,2022,2022-02-09,93000000,Language
GPU DBNs,,2009,2009-06-15,1,Other
GPipe (Amoeba),,2018,2018-11-16,NA,Vision
GPipe (Transformer),,2018,2018-11-16,NA,Language
GRUs,,2014,2014-06-03,NA,Language
