SITE,OECD Key Biotech Indicators,,,,,,,,,,,,,,,,,,
TABLE,KBI 1,,,,,,,,,,,,,,,,,,
TITLE,"Number of firms active in biotechnology, 2006-19",,,,,,,,,,,,,,,,,,
SUBTITLE,,,,,,,,,,,,,,,,,,,
SOURCE,"OECD, Key Biotechnology Indicators, http://oe.cd/kbi, October 2021.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Number of biotech R&D firms, 2006-19"
,,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
,Austria,#N/A,#N/A,#N/A,#N/A,113,#N/A,128,#N/A,143,#N/A,#N/A,172,#N/A,#N/A,200,Biotech firms,,
,Belgium,#N/A,#N/A,#N/A,#N/A,#N/A,249,#N/A,273,#N/A,252,#N/A,279,#N/A,327,,Biotech R&D firms,,
,Brazil (*),#N/A,#N/A,#N/A,#N/A,#N/A,160,#N/A,#N/A,309,#N/A,#N/A,190,#N/A,,,Biotech R&D firms,,
,Canada,,,,,,,,,,,,,339,320,,,,
,Czech Republic,72,78,95,89,103,109,124,109,113,126,120,117,114,124,,Biotech R&D firms,,
,Denmark,#N/A,124,#N/A,157,#N/A,127,#N/A,134,#N/A,123,#N/A,214,#N/A,119,,Biotech R&D firms,,
,Estonia,#N/A,#N/A,30,38,45,45,42,42,31,27,35,38,35,37,,Biotech R&D firms,,
,Finland,#N/A,141,#N/A,#N/A,#N/A,157,#N/A,#N/A,#N/A,170,#N/A,#N/A,#N/A,,,Biotech R&D firms,,
,France,#N/A,#N/A,"1,068","1,379","1,631","1,638","1,944","1,884","1,805","1,882","2,011","2,082","2,086","2,265",,Biotech R&D firms,,
,Germany,551,587,593,645,663,678,693,700,710,726,752,787,820,844,877,Biotech firms,,
,Ireland,#N/A,#N/A,#N/A,167,#N/A,237,#N/A,126,#N/A,101,#N/A,112,#N/A,136,,Biotech R&D firms,,
,Italy,#N/A,#N/A,398,425,457,488,499,517,524,526,#N/A,#N/A,#N/A,,,Biotech R&D firms,,
,Italy (*),,,478,505,544,574,592,624,658,686,724,736,738,751,745,Biotech firms,,
,Korea,#N/A,#N/A,833,836,870,890,935,939,944,948,940,946,956,966,,Biotech firms,,
,Latvia (*),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,12,5,7,,Biotech R&D firms,,
,Lithuania,27,30,36,39,42,47,52,60,69,72,78,82,91,104,123,Biotech firms,,
,Mexico (*),#N/A,#N/A,#N/A,#N/A,#N/A,406,#N/A,154,#N/A,329,426,#N/A,#N/A,,,Biotech firms,,
,Norway,#N/A,161,#N/A,173,192,182,184,200,225,268,288,288,261,305,,Biotech R&D firms,,
,Poland,#N/A,#N/A,21,37,74,91,90,122,126,160,184,188,208,181,,Biotech firms,,
,Portugal,#N/A,89,120,105,121,151,134,131,151,159,151,176,197,222,,Biotech R&D firms,,
,Slovak Republic,#N/A,#N/A,#N/A,11,15,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,Biotech R&D firms,,
,Slovenia,#N/A,#N/A,10,17,24,33,36,36,24,28,35,30,30,27,,Biotech R&D firms,,
,Spain,#N/A,#N/A,"1,181","1,521","1,715","3,025","3,070","2,831","2,742","2,981","2,767",#N/A,#N/A,,,Biotech firms,,
,Spain,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"1,056","1,133","1,198",,Biotech R&D firms,,
,Sweden (*),#N/A,#N/A,#N/A,100,#N/A,94,#N/A,105,#N/A,133,#N/A,#N/A,#N/A,,,Biotech R&D firms,,
,Switzerland,#N/A,#N/A,267,#N/A,#N/A,#N/A,233,#N/A,#N/A,265,#N/A,280,#N/A,345,,Biotech R&D firms,,
,United States (*),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"2,673","3,418","2,562","1,772","2,470","2,470",,Biotech R&D firms,,
,,,,,,,,,,,,,,,,,,,
,Biotechnology R&D firms perform biotechnology R&D. These firms are captured by R&D surveys. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"For Brazil and Sweden, firms with 10 or more employees only.",,,,,,,,,,,,,,,,,,
,"For Italy and Lithuania, 2020 data are preliminary.",,,,,,,,,,,,,,,,,,
,"For Latvia, this includes medical biotechnology, environmental biotechnology, industrial biotechnology and agricultural biotechnology. ",,,,,,,,,,,,,,,,,,
,"For Mexico, firms with 20 or more employees only.",,,,,,,,,,,,,,,,,,
,"For the United States, prior to 2017 statistics are based on companies in the United States that reported to the survey and had 5 or more employees (i.e., these statistics do not include an adjustment to the weight to account for unit nonresponse). Beginning in 2017, the survey includes companies with 10 or more employees (companies with fewer than 10 employees are included in a separate survey, the Annual Business Survey). Beginning in 2018, weights are adjusted to account for unit nonresponse and statistics are for companies that performed or funded $50,000 or more of R&D. Beginning in 2019, these company count estimates reflect a change in rounding methodology. For 2019, the Census Bureau has reviewed the data product for unauthorized disclosure of confidential information and has approved the disclosure avoidance practices applied.� (Approval ID: CBDRB-FY21-110).",,,,,,,,,,,,,,,,,,
